"Candidate","House/Senate","State","District","Party","Status","ElectionYear","Gender","GenderVar","PercentWomen"
"MOORE, DANIELLE E","H","MO","9","REP","OPEN","2008","female","1","6.134969325153374","republican"
"MORAN, NANCY","H","OR","5","DEM","OPEN","2008","female","1","18.333333333333332","democrat"
"MORRIS, BENJAMIN OWEN","H","LA","1","REP","OPEN","2008","male","0","3.8095238095238098","republican"
"MORRIS, JOHN DAVID","H","IL","18","REP","OPEN","2008","male","0","10.16949152542373","republican"
"MURPHY, JUSTIN MICHAEL","H","NJ","3","REP","OPEN","2008","male","0","10.0","republican"
"MYERS, CHRISTOPHER","H","NJ","3","REP","OPEN","2008","male","0","10.0","republican"
"NATHE, RICHARD","H","OR","5","DEM","OPEN","2008","male","0","18.333333333333332","democrat"
"NEELY, BRIAN H","H","MS","1","DEM","OPEN","2008","male","0","13.934426229508196","democrat"
"NEUHARDT, SHAREN SWARTZ","H","OH","7","DEM","OPEN","2008","female","1","12.121212121212121","democrat"
"NEWMAN, MONTY","H","NM","2","REP","OPEN","2008","male","0","17.142857142857142","republican"
"NULL, JACK D","H","OH","7","DEM","OPEN","2008","male","0","12.121212121212121","democrat"
"O'BRIEN, DAVID MICHAEL","H","MA","5","DEM","OPEN","2008","male","0","21.25","democrat"
"O'NEILL, KEVIN M","H","VA","1","REP","OPEN","2008","male","0","5.0","republican"
"OAKS, ROBERT C","H","NY","25","REP","OPEN","2008","male","0","3.3333333333333335","republican"
"OBERWEIS, JAMES D","H","IL","14","REP","OPEN","2008","male","0","10.16949152542373","republican"
"OLIVAS, MIGUEL MIKE","H","AZ","1","DEM","OPEN","2008","male","0","15.0","democrat"
"OLIVO, JAMES BROCKMAN","H","MO","9","REP","OPEN","2008","male","0","6.134969325153374","republican"
"ONDER, ROBERT FRANK JR","H","MO","9","REP","OPEN","2008","male","0","6.134969325153374","republican"
"ORENTLICHER, DAVID","H","IN","7","DEM","OPEN","2008","male","0","10.0","democrat"
"OROPEZA, JENNY","H","CA","37","DEM","OPEN","2008","female","1","21.25","democrat"
"OWENS, CHRIS","H","NY","11","DEM","OPEN","2008","male","0","22.666666666666664","democrat"
"OZINGA, MARTIN III","H","IL","11","REP","OPEN","2008","male","0","10.16949152542373","republican"
"PAEZ, BRYON J","H","NM","1","DEM","OPEN","2008","male","0","14.285714285714285","democrat"
"PANG, WALLY","H","MS","1","REP","OPEN","2008","male","0","3.278688524590164","republican"
"PARKER, WAYNE JR.","H","AL","5","REP","OPEN","2008","male","0","2.857142857142857","republican"
"PARMER, GEORGE A JR","H","CA","37","DEM","OPEN","2008","male","0","21.25","democrat"
"PATMON, BILL","H","OH","11","DEM","OPEN","2008","male","0","12.121212121212121","democrat"
"PAULSEN, ERIK","H","MN","3","REP","OPEN","2008","male","0","5.970149253731343","republican"
"PEKAREK, THOMAS","H","OH","11","REP","OPEN","2008","male","0","6.0606060606060606","republican"
"PIDCOCK, ROBERT L","H","NM","1","DEM","OPEN","2008","male","0","14.285714285714285","democrat"
"PIEPER, FRED","H","OH","5","REP","OPEN","2008","male","0","6.0606060606060606","republican"
"PIERLUISI, PEDRO","H","PR","0","DEM","OPEN","2008","male","0"
"PINGREE, CHELLIE M","H","ME","1","DEM","OPEN","2008","female","1","23.178807947019866","democrat"
"POLIS, JARED","H","CO","2","DEM","OPEN","2008","male","0","32.30769230769231","democrat"
"POSEY, BILL","H","FL","15","REP","OPEN","2008","male","0","9.166666666666666","republican"
"POWELL, ISAAC","H","OH","11","DEM","OPEN","2008","male","0","12.121212121212121","democrat"
"POWELL, RICK","H","CA","52","REP","OPEN","2008","male","0","7.5","republican"
"POWERS, FRANK","H","NY","13","REP","OPEN","2008","male","0","3.3333333333333335","republican"
"POWERS, JONATHAN","H","NY","26","DEM","OPEN","2008","male","0","22.666666666666664","democrat"
"PRENTISS, C.J.","H","OH","11","DEM","OPEN","2008","female","1","12.121212121212121","democrat"
"PRICE, JEFFREY S.","H","CA","37","DEM","OPEN","2008","male","0","21.25","democrat"
"QUARTEL, DONALD ROBERT JR","H","VA","1","REP","OPEN","2008","male","0","5.0","republican"
"RADKOWSKI, LOUIS A","H","PA","5","REP","OPEN","2008","male","0","7.8817733990147785","republican"
"RAMIREZ, MIRIAM","H","PR","0","REP","OPEN","2008","female","1"
"RAMIREZ, TERI","H","CA","37","REP","OPEN","2008","female","1","7.5","republican"
"RANCATORE, PAUL","H","FL","15","DEM","OPEN","2008","male","0","13.333333333333334","democrat"
"RECCHIA, DOMENIC M JR","H","NY","13","DEM","OPEN","2008","male","0","22.666666666666664","democrat"
"REDLICH, WARREN","H","NY","21","REP","OPEN","2008","male","0","3.3333333333333335","republican"
"REED, GILDA WERNER PHD","H","LA","1","DEM","OPEN","2008","female","1","9.523809523809524","democrat"
"RICHARDSON, KEITH MR.","H","PA","5","REP","OPEN","2008","male","0","7.8817733990147785","republican"
"RILEY, JEFF","H","AZ","1","DEM","OPEN","2008","male","0","15.0","democrat"
"RIVES, FRANK","H","OH","11","DEM","OPEN","2008","male","0","12.121212121212121","democrat"
"ROBLES, ALBERT","H","CA","37","DEM","OPEN","2008","male","0","21.25","democrat"
"RODRIGUEZ, CHARLES A CHARLIE","H","PR","0","DEM","OPEN","2008","male","0"
"ROE, DAVID PHILLIP","H","TN","1","REP","OPEN","2008","male","0","5.05050505050505","republican"
"ROSE, THOMAS A","H","IN","7","REP","OPEN","2008","male","0","6.0","republican"
"ROSS, CHARLES EDWIN","H","MS","3","REP","OPEN","2008","male","0","3.278688524590164","republican"
"ROUGHNEEN, THOMAS","H","NJ","7","REP","OPEN","2008","male","0","10.0","republican"
"ROUNSAVILLE, JOHN WALTER","H","MS","3","REP","OPEN","2008","male","0","3.278688524590164","republican"
"RUSSELL, RANDY","H","MS","1","REP","OPEN","2008","male","0","3.278688524590164","republican"
"RYAN, SEAN HENRY","H","OH","11","DEM","OPEN","2008","male","0","12.121212121212121","democrat"
"SABEL, CHERYL T","H","AL","2","DEM","OPEN","2008","female","1","10.476190476190476","democrat"
"SALAZAR, ALFREDO","H","PR","0","DEM","OPEN","2008","male","0"
"SAWYER, PAUL B","H","LA","6","REP","OPEN","2008","male","0","3.8095238095238098","republican"
"SCHIFFER, PAUL R","H","OH","16","REP","OPEN","2008","male","0","6.0606060606060606","republican"
"SCHMIDTKE, CRAIG D","H","AL","2","REP","OPEN","2008","male","0","2.857142857142857","republican"
"SCHOCK, AARON JON MR.","H","IL","18","REP","OPEN","2008","male","0","10.16949152542373","republican"
"SCHRADER, KURT","H","OR","5","DEM","OPEN","2008","male","0","18.333333333333332","democrat"
"SCHURING, KIRK","H","OH","16","REP","OPEN","2008","male","0","6.0606060606060606","republican"
"SCONTRAS, DEAN P","H","ME","1","REP","OPEN","2008","male","0","7.28476821192053","republican"
"SCRIVENS, THOMAS L.","H","OH","7","DEM","OPEN","2008","male","0","12.121212121212121","democrat"
"SERRA, JOE","H","IL","14","DEM","OPEN","2008","male","0","19.491525423728813","democrat"
"SHAFROTH, WILLIAM G","H","CO","2","DEM","OPEN","2008","male","0","32.30769230769231","democrat"
"SHAHINFAR, DARIUS","H","NY","21","DEM","OPEN","2008","male","0","22.666666666666664","democrat"
"SHANER, MATT","H","PA","5","REP","OPEN","2008","male","0","7.8817733990147785","republican"
"SHANKER, HOWARD MARC","H","AZ","1","DEM","OPEN","2008","male","0","15.0","democrat"
"SHENDO, BENNY JR","H","NM","3","DEM","OPEN","2008","male","0","14.285714285714285","democrat"
"SIMON, ELLEN","H","AZ","1","DEM","OPEN","2008","female","1","15.0","democrat"
"SIMPSON, DAVID GUYTON","H","LA","1","REP","OPEN","2008","male","0","3.8095238095238098","republican"
