2014 Data,From NCSL,,,,,,,,,,,,,,,,,,,,,,,,
STATE,,D,R,Total Women, TOTAL HOUSE ,,,,,,,,,,,,,,,,,,,,
PA,Women in the House,16,21,37,203,,,,,,,,,,,,,,,,,Women in the Senate,5 D | 3 R = Total: 8,45,17.8
RI,Women in the House,19,2,21,75,,,,,,,,,,,,,,,,,Women in the Senate,9 D | 0 R = Total: 9,30,26.5
SC,Women in the House,11,10,21,124,,,,,,,,,,,,,,,,,Women in the Senate,0 D | 1 R = Total: 1,22,12.9
SD,Women in the House,6,12,18,70,,,,,,,,,,,,,,,,,Women in the Senate,1 D | 5 R = Total: 6,24,22.9
TN,Women in the House,8,8,16,99,,,,,,,,,,,,,,,,,Women in the Senate,3 D | 4 R = Total: 7,23,17.4
TX,Women in the House,17,15,32,150,,,,,,,,,,,,,,,,,Women in the Senate,4 D | 3 R = Total: 7,39,21.5
UT,Women in the House,8,4,12,75,,,,,,,,,,,,,,,,,Women in the Senate,3 D | 2 R = Total: 5,17,16.3
VT,Women in the House,49,12,65,150,,,,,,,,,,,,,,,,,Women in the Senate,6 D | 2 R = Total: 8,73,40.6
VA,Women in the House,12,5,17,100,,,,,,,,,,,,,,,,,Women in the Senate,6 D | 1 R = Total: 7,24,17.1
WA,Women in the House,21,9,30,98,,,,,,,,,,,,,,,,,Women in the Senate,10 D | 8 R = Total: 18,48,32.7
WV,Women in the House,11,10,21,100,,,,,,,,,,,,,,,,,Women in the Senate,0 D | 1 R = Total: 1,22,16.4
WI,Women in the Assembly,17,8,25,99,,,,,,,,,,,,,,,,,Women in the Senate,5 D | 4 R = Total: 9,34,25.8
WY,Women in the House,2,10,12,60,,,,,,,,,,,,,,,,,Women in the Senate,1 D | 1 R = Total: 2,14,15.6
