Candidate,House/Senate,State,District,Party,Status,Election Year,Gender,Gender Var
"CROWLEY, KAWIKA",H,HI,2,REP,OPEN,2012,female,1
"BROWNE, VINNY",H,HI,1,DEM,OPEN,2010,male,0
"ANDERSON, IKAIKA",H,HI,1,DEM,OPEN,2014,female,1
"AMSTERDAM, C KAUI JOCHANAN",H,HI,1,REP,OPEN,2010,male,0
"ROGERS, WALT",H,IA,1,REP,OPEN,2014,male,0
"KAJTAZOVIC, ANESA",H,IA,1,DEM,OPEN,2014,female,1
"DANDEKAR, SWATI ARVIND",H,IA,1,DEM,OPEN,2014,female,1
"TROTTER, DONNE E",H,IL,2,DEM,OPEN,2014,male,0
"STEIN, JOTHAM SHEPARD",H,IL,14,DEM,OPEN,2008,male,0
"OLIEH, ALPHONSUS JR",H,IL,2,DEM,OPEN,2014,male,0
"KRISHNAMOORTHI, S. RAJA",H,IL,8,DEM,OPEN,2016,male,0
"KHAN, MOHAMMADALI D",H,IL,5,DEM,OPEN,2010,male,0
"YOUNG, R MICHAEL",H,IN,4,REP,OPEN,2010,male,0
"KEITH, LARON",H,IN,4,REP,OPEN,2010,male,0
"HERSHMAN, BRANDT",H,IN,4,REP,OPEN,2010,male,0
"RUTSCHMAN, PAIJ BORING",H,KS,4,REP,OPEN,2010,female,1
"MOORE, STEPHENE ANN",H,KS,3,DEM,OPEN,2010,female,1
"HARTMAN, WINK",H,KS,4,REP,OPEN,2010,male,0
"GOYLE, RAJ",H,KS,4,DEM,OPEN,2010,male,0
"COBB, MARCK REDELL",H,KS,1,REP,OPEN,2010,male,0
"WHITNEY, LENAR",H,LA,6,REP,OPEN,2014,female,1
"SANGISETTY, RAVI",H,LA,3,DEM,OPEN,2010,male,0
"RISER, HARTWELL NEIL JR",H,LA,5,REP,OPEN,2014,male,0
"MENDOZA, M.V.",H,LA,1,DEM,OPEN,2008,male,0
"DOWNER, HUNTINGTON B JR",H,LA,3,REP,OPEN,2010,male,0
"CASH, ARTIS",H,LA,4,DEM,OPEN,2008,male,0
"SHUDOFSKY, ARYEH",H,MD,8,REP,OPEN,2016,male,0
"PENA-MELNYK, JOSELINE A.",H,MD,4,DEM,OPEN,2016,female,1
"DAVIS, DERECK EUGENE",H,MD,4,DEM,OPEN,2016,male,0
"BARVE, KUMAR",H,MD,8,DEM,OPEN,2016,male,0
"PINGREE, CHELLIE M",H,ME,1,DEM,OPEN,2008,female,1
"TAJ, SYED DR",H,MI,11,DEM,OPEN,2012,male,0
"MAYHUE, W. PAUL",H,MI,3,DEM,OPEN,2010,male,0
"GARRETT, MYKALE L",H,MI,14,DEM,OPEN,2014,female,1
"FOSTER, BURGESS",H,MI,14,DEM,OPEN,2014,male,0
"CLARKE, HANSEN",H,MI,14,DEM,OPEN,2014,male,0
"MOON, C MICHAEL",H,MO,7,REP,OPEN,2010,male,0
"LUETKEMEYER, W. BLAINE",H,MO,9,REP,OPEN,2008,male,0
"WILMER, FRANKE",H,MT,0,DEM,OPEN,2012,female,1
"GILLAN, KIM",H,MT,0,DEM,OPEN,2012,female,1
"PATEL, RAGIVE",H,NC,12,DEM,OPEN,2014,male,0
"KOPPELMAN, KIM A",H,ND,0,REP,OPEN,2012,female,1
"HATFIELD, P KELLY",H,NJ,7,REP,OPEN,2008,female,1
"ECK, ALIETA DR",H,NJ,12,REP,OPEN,2014,female,1
"CHIVUKULA, UPENDRA J",H,NJ,12,DEM,OPEN,2014,female,1
"AMAR, AMAR DEV",H,NJ,7,REP,OPEN,2008,male,0
"GREER, C EARL",H,NM,2,REP,OPEN,2008,male,0
"VOIGTS, BUSCH, JR",H,NV,2,REP,OPEN,2012,male,0
"SINGER, ALEX CHANNING",H,NV,3,DEM,OPEN,2016,male,0
"ROSEN, JACKY",H,NV,3,DEM,OPEN,2016,female,1
"KHAL, SAMI",H,NV,3,REP,OPEN,2016,female,1
"JONES, ZACH",H,NV,2,DEM,OPEN,2012,male,0
"HILL, KIRAN",H,NV,4,REP,OPEN,2012,male,0
"GILLUM, R. J.",H,NV,2,DEM,OPEN,2012,male,0
"WYNE, JAMSHAD",H,NY,13,REP,OPEN,2008,male,0
"TEACHOUT, ZEPHYR",H,NY,19,DEM,OPEN,2016,female,1
"MYERS, KIM",H,NY,22,DEM,OPEN,2016,male,0
"ESPAILLAT, ADRIANO",H,NY,13,DEM,OPEN,2016,male,0
"ABRAHAMS, KEVAN",H,NY,4,DEM,OPEN,2014,male,0
"WOOLEVER, F DAVID",H,OH,7,DEM,OPEN,2008,male,0
"PRENTISS, C.J.",H,OH,11,DEM,OPEN,2008,female,1
"LIGGETT, HOMBRE MICHAEL",H,OH,7,REP,OPEN,2012,male,0
"HOWARD, DAWNETTA N",H,OH,7,DEM,OPEN,2012,female,1
"AYAD, BRAHIM",H,OH,11,DEM,OPEN,2008,male,0
"MULLIN, MARKWAYNE",H,OK,2,REP,OPEN,2012,male,0
"CASTILLE, KALIKO",H,OR,1,DEM,OPEN,2012,female,1
"AHMED, SABA",H,OR,1,DEM,OPEN,2012,female,1
"WAGA, THEADORE III",H,PA,4,REP,OPEN,2012,male,0
"TRIVEDI, MANAN",H,PA,6,DEM,OPEN,2014,male,0
"NAUGHTON, SHAUGHNESSY",H,PA,8,DEM,OPEN,2016,male,0
"KITTAPPA, RAJA",H,PA,16,DEM,OPEN,2016,female,1
"DAYLIN, LEACH B",H,PA,13,DEM,OPEN,2014,male,0
"WITTE, W STOVALL JR",H,SC,1,REP,OPEN,2010,male,0
"BUTLER , DEVORE E.",H,TN,6,DEM,OPEN,2010,male,0
"WARREN, DERENDA",H,TX,19,REP,OPEN,2016,female,1
"TATUM, KYEV P., SR.",H,TX,33,DEM,OPEN,2012,male,0
"SWEETEN, RANCE G RANDY",H,TX,15,DEM,OPEN,2016,male,0
"MORRELL, KIM",H,TX,36,REP,OPEN,2012,male,0
"MORRELL, KIM",H,TX,36,REP,OPEN,2014,male,0
"MOLINA, J. R.",H,TX,33,DEM,OPEN,2012,male,0
"GRIFFIN, KY DOUGLAS",H,TX,36,REP,OPEN,2012,female,1
"ARRINGTON, JODEY COOK",H,TX,19,REP,OPEN,2016,female,1
"OWENS, H DOUGLAS",H,UT,4,DEM,OPEN,2014,male,0
"MODICA, JULIEN",H,VA,10,DEM,OPEN,2014,male,0
"KORPE, SATISH W",H,VA,8,DEM,OPEN,2014,male,0
"JONES, CATESBY BAYTOP",H,VA,1,REP,OPEN,2008,male,0
"CAGE, ERICKE",H,VA,5,DEM,OPEN,2016,female,1
"MALONE, SHAWN-MICHAEL",H,VI,0,DEM,OPEN,2014,male,0
"RAUNIYAR, DARSHAN",H,WA,1,DEM,OPEN,2012,male,0
"NEWBRY, JANEA HOLMQUIST",H,WA,4,REP,OPEN,2014,female,1
"LIIAS, MARKO MR",H,WA,1,DEM,OPEN,2012,male,0
"JHAVERI, ARUN",H,WA,7,DEM,OPEN,2016,male,0
"JAYAPAL, PRAMILA",H,WA,7,DEM,OPEN,2016,female,1
"BELTRAN, ESTAKIO",H,WA,4,DEM,OPEN,2014,male,0
"STROEBEL, S DUANE JR",H,WI,6,REP,OPEN,2014,male,0
"ROYS, KELDA HELEN",H,WI,2,DEM,OPEN,2012,female,1
"POORE, MESHEA",H,WV,2,DEM,OPEN,2014,female,1
"WINNEY, J WILLIAM JR",H,WY,0,REP,OPEN,2008,male,0
